Time ,Likes ,Contents ,Day of the week,Year,Date,Language,,
20:07,300,Motorcycle,Wednesday,2020,22-Jul,Chinese,,
13:32,256,Pho,Thursday,2020,16-Jul,English,,
20:41,301,Green island,Monday,2020,22-Jun,Chinese,,Caveats: Followers changed
12:17,296,Green island,Friday,2020,19-Jun,Chinese,,
12:37,344,Taitung,Thursday,2020,18-Jun,Chinese,,
23:11,239,Diving,Sunday,2020,7-Jun,Chinese,,
0:15,396,Birthday,Sunday,2020,15-Mar,Chinese,,
12:03,269,Skiing,Monday,2020,24-Feb,English,,
12:43,296,Tyapn,Sunday,2020,19-Jan,English,,
14:28,246,New Year,Wednesday,2020,1-Jan,Chinese,,
13:05,309,LIGO,Sunday,2019,10-Nov,Chinese+English,,
10:33,219,Corn Maze,Monday,2019,28-Oct,English,,
9:08,358,Miss Wash,Sunday,2019,6-Oct,English,,
22:27,363,BV ,Tuesday,2019,3-Sep,English ,,
17:53,328,Giant Hand,Sunday,2019,28-Jul,Chinese,,
13:06,288,Roomies,Saturday,2019,15-Jun,English,,
10:29,317,Lake view,Monday,2019,3-Jun,English,,
11:22,265,India,Saturday,2019,1-Jun,English,,
4:35,293,Beach view,Monday,2019,6-May,English,,
15:07,316,Miami beach,Thursday,2019,28-Mar,English,,
13:38,333,NBA,Wednesday,2019,27-Mar,Chinese+English,,
9:22,326,Hemingway,Tuesday,2019,26-Mar,English,,
11:03,318,Beach view,Monday,2019,25-Mar,Chinese,,
13:43,301,Birthday,Monday,2019,11-Mar,Chinese+English,,
16:28,380,MJ116,Sunday,2019,3-Mar,Chinese,,
4:14,351,CNY,Friday,2019,8-Feb,English,,
10:42,340,Crazy rich,Thursday,2019,7-Feb,English,,
5:50,432,Snow,Tuesday,2019,5-Feb,Chinese+English,,
10:37,305,Lake 22,Thursday,2019,24-Jan,English,,
17:13,294,scooter,Monday,2018,31-Dec,English,,
15:11,247,Fall ball,Thursday,2018,6-Dec,English,,
8:50,286,FIG,Wednesday,2018,5-Dec,English,,
8:07,346,Beach Portrait,Tuesday,2018,13-Nov,English,,
9:55,247,Car,Wednesday,2018,31-Oct,English,,
16:23,265,Mt.Rainier,Sunday,2018,28-Oct,English,,
10:36,216,stars,Tuesday,2018,23-Oct,Chinese,,
7:25,255,Fall portrait,Sunday,2018,14-Oct,English,,
7:19,216,Concert,Saturday,2018,6-Oct,English,,
13:41,313,Portrait,Friday,2018,21-Sep,Chinese+English,,
8:00,275,Military,Friday,2018,7-Sep,Chinese,,
7:29,272,EFS Group,Thursday,2018,6-Sep,English,,
14:51,262,Mariners,Tuesday,2018,4-Sep,Chinese+English,,
10:51,266,Row boat,Monday,2018,3-Sep,English,,
10:03,251,Lunch together,Sunday,2018,26-Aug,English,,
8:57,300,UW portrait,Saturday,2018,25-Aug,English,,
9:27,264,Boeing,Friday,2018,17-Aug,English,,
8:57,296,Mt.Rainier,Thursday,2018,16-Aug,Chinese,,